Interval=	0.005 s
ExcelDateTime=	4.4476799837398881e+004	10/7/2021 19:11:45.951264
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Vol. Pulse	Blood Flow	ECG
Range=	20.00 mV.s	200.0 mV	500.0 µV
0	0.00	3.0	20.6
0.005	0.04	14.2	125.4
0.01	0.14	21.4	97.6
0.015	0.25	22.0	-44.8
0.02	0.35	22.3	25.8
0.025	0.46	22.3	91.6
0.03	0.57	21.5	-45.7
0.035	0.67	19.6	-44.0
0.04	0.76	17.0	69.1
0.045	0.83	14.0	-16.9
0.05	0.89	11.0	-85.3
0.055	0.94	8.4	28.4
0.06	0.97	5.8	18.4
0.065	0.99	3.2	-95.3
0.07	0.99	0.9	-12.0
0.075	0.99	-1.0	55.8
0.08	0.97	-2.6	-73.8
0.085	0.95	-4.1	-62.6
0.09	0.92	-5.3	66.7
0.095	0.89	-6.3	-15.8
0.1	0.85	-7.1	-88.0
0.105	0.81	-7.5	32.3
0.11	0.77	-8.1	20.0
0.115	0.72	-8.8	-97.6
0.12	0.68	-9.1	-15.8
0.125	0.63	-9.0	53.0
0.13	0.58	-8.9	-75.8
0.135	0.53	-8.6	-73.9
0.14	0.49	-8.3	47.8
0.145	0.45	-8.2	-25.0
0.15	0.40	-8.3	-89.5
0.155	0.36	-8.3	31.1
0.16	0.32	-8.4	27.7
0.165	0.27	-8.4	-81.6
0.17	0.23	-8.2	-6.3
0.175	0.19	-8.2	62.7
0.18	0.14	-8.7	-47.8
0.185	0.10	-9.3	-51.3
0.19	0.05	-9.5	53.8
0.195	0.00	-9.9	-11.5
0.2	-0.05	-10.1	-75.4
0.205	-0.10	-10.0	32.5
0.21	-0.14	-9.7	32.9
0.215	-0.19	-9.4	-71.3
0.22	-0.24	-9.0	-5.3
0.225	-0.28	-8.6	54.8
0.23	-0.32	-8.1	-51.6
0.235	-0.36	-7.5	-43.7
0.24	-0.39	-6.6	54.8
0.245	-0.42	-5.9	-13.8
0.25	-0.45	-5.2	-64.2
0.255	-0.47	-4.1	38.5
0.26	-0.48	-3.2	29.8
0.265	-0.50	-2.5	-69.7
0.27	-0.50	-1.9	-5.2
0.275	-0.51	-1.4	51.0
0.28	-0.51	-1.3	-51.2
0.285	-0.52	-1.1	-47.3
0.29	-0.52	-0.7	55.5
0.295	-0.52	-0.3	-0.1
0.3	-0.52	0.1	-55.8
0.305	-0.51	0.7	37.7
0.31	-0.51	0.8	36.1
0.315	-0.50	0.4	-57.0
0.32	-0.50	-0.2	4.5
0.325	-0.50	-0.5	60.8
0.33	-0.50	-0.7	-41.8
0.335	-0.50	-0.7	-34.4
0.34	-0.50	-0.4	62.1
0.345	-0.50	-0.5	-7.1
0.35	-0.50	-1.0	-69.5
0.355	-0.51	-1.7	26.4
0.36	-0.52	-2.5	30.0
0.365	-0.53	-3.5	-64.3
0.37	-0.55	-4.0	-9.4
0.375	-0.56	-4.2	45.9
0.38	-0.58	-4.4	-38.8
0.385	-0.60	-4.3	-21.7
0.39	-0.62	-4.0	81.4
0.395	-0.64	-3.8	27.8
0.4	-0.65	-3.7	-28.7
0.405	-0.67	-3.7	54.8
0.41	-0.68	-4.0	57.6
0.415	-0.70	-4.6	-3.3
0.42	-0.72	-4.9	64.9
0.425	-0.74	-5.0	104.1
0.43	-0.77	-5.1	19.1
0.435	-0.79	-5.0	27.2
0.44	-0.81	-4.8	99.9
0.445	-0.83	-4.8	47.7
0.45	-0.85	-5.0	5.7
0.455	-0.87	-4.9	88.2
0.46	-0.89	-4.9	77.0
0.465	-0.91	-4.9	-13.2
0.47	-0.93	-4.7	30.9
0.475	-0.95	-4.4	74.6
0.48	-0.97	-4.4	-12.0
0.485	-0.98	-4.5	-21.8
0.49	-1.00	-4.4	51.1
0.495	-1.02	-4.2	-11.6
0.5	-1.03	-4.1	-59.9
0.505	-1.05	-4.0	30.2
0.51	-1.07	-4.1	22.2
0.515	-1.08	-4.5	-55.8
0.52	-1.10	-4.5	-2.5
0.525	-1.12	-4.3	36.6
0.53	-1.13	-4.0	-46.5
0.535	-1.15	-3.5	-47.8
0.54	-1.16	-3.0	29.9
0.545	-1.17	-2.9	-20.3
