Time	VolPulse	BloodFlow	ECG
0.000	0.000	1.613	36.300
0.005	0.030	9.383	150.000
0.010	0.100	17.583	180.500
0.015	0.190	20.387	140.100
0.020	0.290	NaN	134.000
0.025	0.390	NaN	127.300
0.030	0.500	NaN	100.100
0.035	0.590	NaN	126.700
0.040	0.690	NaN	133.500
0.045	0.790	20.479	90.000
0.050	0.890	0.000	100.000
0.055	0.990	20.475	105.400
0.060	1.090	0.000	96.500
0.065	1.190	20.471	112.700
0.070	1.280	NaN	94.900
0.075	1.380	20.096	86.000
0.080	1.470	17.723	117.400
0.085	1.540	14.126	131.900
0.090	1.590	11.046	104.000
0.095	1.640	8.194	64.100
0.100	1.660	5.480	85.700
0.105	1.680	3.207	101.600
0.110	1.680	0.664	93.400
0.115	1.670	-2.598	119.000
0.120	1.640	-5.442	122.600
0.125	1.600	-7.006	92.900
0.130	1.550	-7.834	56.800
0.135	1.510	-8.306	34.800
0.140	1.460	-8.766	39.700
0.145	1.400	-9.942	50.800
0.150	1.340	-11.499	46.200
0.155	1.280	-12.841	52.600
0.160	1.200	-14.459	66.500
0.165	1.120	-16.306	69.800
0.170	1.030	-17.496	71.600
0.175	0.940	-18.004	43.500
0.180	0.840	-18.035	40.600
0.185	0.750	-17.325	82.800
0.190	0.660	-16.377	97.600
0.195	0.580	-16.138	50.900
0.200	0.500	-16.479	8.500
0.205	0.410	-16.770	25.200
0.210	0.320	-17.139	13.600
0.215	0.240	-17.594	33.300
0.220	0.150	-17.851	177.800
0.225	0.060	-18.145	355.400
0.230	-0.040	-18.243	481.100
0.235	-0.120	-17.376	518.900
0.240	-0.210	-15.902	450.500
0.245	-0.280	-14.992	251.300
0.250	-0.350	-14.835	43.800
0.255	-0.430	-14.891	-0.700
0.260	-0.500	-14.955	25.000
0.265	-0.570	-14.664	13.600
0.270	-0.640	-13.584	51.400
0.275	-0.700	-12.509	89.100
0.280	-0.760	-12.083	65.000
0.285	-0.820	-11.306	81.600
0.290	-0.860	-9.661	104.400
0.295	-0.900	-8.005	100.800
0.300	-0.940	-6.581	93.700
0.305	-0.960	-5.128	79.600
0.310	-0.980	-4.242	105.900
0.315	-1.000	-3.996	126.900
0.320	-1.010	-3.563	102.500
0.325	-1.020	-3.163	109.900
0.330	-1.030	-3.324	151.600
0.335	-1.040	-3.436	180.200
0.340	-1.060	-3.214	171.000
0.345	-1.070	-3.357	152.300
0.350	-1.080	-3.536	199.300
0.355	-1.090	-2.806	251.200
0.360	-1.100	-1.690	247.000
0.365	-1.100	-0.873	247.000
0.370	-1.100	-0.405	289.700
0.375	-1.100	-1.011	314.400
0.380	-1.100	-2.866	316.300
0.385	-1.110	-4.298	326.400
0.390	-1.130	-4.697	309.600
0.395	-1.150	-4.882	303.400
0.400	-1.170	-3.110	288.700
0.405	-1.160	2.219	228.900
0.410	-1.130	9.601	202.300
0.415	-1.060	16.816	212.000
0.420	-0.960	20.337	185.900
0.425	-0.850	20.470	151.800
0.430	-0.750	20.477	138.100
0.435	-0.640	NaN	129.800
0.440	-0.530	20.471	122.900
0.445	-0.430	NaN	98.100
0.450	-0.330	20.477	104.800
0.455	-0.220	NaN	129.100
0.460	-0.120	20.474	103.900
0.465	-0.020	NaN	104.700
0.470	0.090	20.460	140.000
0.475	0.190	NaN	137.300
0.480	0.290	19.813	123.600
0.485	0.380	17.248	118.100
0.490	0.460	13.998	101.000
0.495	0.520	10.687	85.600
0.500	0.560	7.406	96.400
0.505	0.590	4.901	115.600
0.510	0.600	2.707	92.200
0.515	0.610	0.447	53.300
0.520	0.600	-1.450	60.400
0.525	0.590	-3.603	79.000
0.530	0.560	-6.626	36.800
0.535	0.520	-9.175	5.800
0.540	0.460	-10.332	19.700
0.545	0.410	-11.100	25.200
0.550	0.350	-11.911	38.300
0.555	0.290	-12.584	22.700
0.560	0.220	-14.101	8.300
0.565	0.140	-16.247	17.400
0.570	0.060	-17.225	22.200
0.575	-0.030	-17.209	19.800
0.580	-0.110	-17.314	9.800
0.585	-0.200	-17.139	8.500
0.590	-0.280	-16.666	22.800
0.595	-0.370	-16.914	59.600
0.600	-0.450	-17.616	13.700
0.605	-0.540	-17.909	-32.900
0.610	-0.620	-18.286	3.700
0.615	-0.710	-18.858	46.800
0.620	-0.810	-18.749	120.700
0.625	-0.890	-18.208	267.700
0.630	-0.980	-17.866	397.800
0.635	-1.060	-17.394	434.500
0.640	-1.140	-16.914	396.900
0.645	-1.220	-17.049	229.500
0.650	-1.300	-17.289	1.900
0.655	-1.380	-16.943	-102.500
0.660	-1.460	-16.467	-63.200
0.665	-1.530	-15.880	4.700
0.670	-1.600	-14.547	10.400
0.675	-1.660	-13.078	-8.000
0.680	-1.720	-12.056	9.900
0.685	-1.770	-10.795	20.000
0.690	-1.810	-9.524	18.300
0.695	-1.850	-9.199	21.600
0.700	-1.890	-9.135	27.800
0.705	-1.920	-8.321	34.100
0.710	-1.950	-7.402	38.300
0.715	-1.980	-6.901	65.000
0.720	-2.000	-6.268	86.400
0.725	-2.020	-5.853	69.300
0.730	-2.040	-6.101	69.600
0.735	-2.060	-5.970	78.800
0.740	-2.080	-5.121	97.100
0.745	-2.100	-4.542	129.900
0.750	-2.110	-4.089	138.300
0.755	-2.120	-3.188	173.000
0.760	-2.120	-2.584	194.900
0.765	-2.130	-2.472	179.800
0.770	-2.130	-2.338	206.600
0.775	-2.130	-2.944	231.700
0.780	-2.140	-4.532	218.500
0.785	-2.160	-5.467	215.800
0.790	-2.170	-5.211	216.000
0.795	-2.190	-4.491	217.000
0.800	-2.190	-2.071	206.900
0.805	-2.180	3.009	166.300
0.810	-2.140	9.914	151.000
0.815	-2.060	17.018	136.500
0.820	-1.960	20.398	104.900
0.825	-1.850	20.453	93.300
0.830	-1.740	NaN	65.300
0.835	-1.630	NaN	52.400
0.840	-1.520	20.472	77.300
0.845	-1.410	NaN	65.300
0.850	-1.300	20.476	46.600
0.855	-1.190	NaN	53.600
0.860	-1.080	20.477	45.900
0.865	-0.980	NaN	51.100
0.870	-0.870	20.476	57.500
0.875	-0.760	NaN	51.200
0.880	-0.660	20.306	27.100
0.885	-0.560	18.658	38.800
0.890	-0.470	15.174	81.300
0.895	-0.400	10.981	35.200
0.900	-0.350	7.582	-32.400
