Time 	VolPulse	BloodFlow	ECG	
0.000	-0.390	-3.208	-41.000	
0.005	-0.400	-2.851	-40.100	
0.010	-0.410	-2.473	-43.800	
0.015	-0.420	-2.624	-49.700	
0.020	-0.440	-2.726	-50.000	
0.025	-0.450	-2.558	-56.200	
0.030	-0.460	-2.739	-59.000	
0.035	-0.470	-3.025	-31.800	
0.040	-0.480	-2.832	1.300	
0.045	-0.490	-2.686	96.300	
0.050	-0.510	-2.826	302.900	
0.055	-0.520	-2.636	551.900	
0.060	-0.530	-2.374	681.900	
0.065	-0.540	-2.565	657.100	
0.070	-0.550	-2.668	550.400	
0.075	-0.560	-2.462	295.800	
0.080	-0.570	-2.533	13.700	
0.085	-0.580	-2.658	-82.800	
0.090	-0.590	-2.364	-48.100	
0.095	-0.600	-2.236	-17.300	
0.100	-0.610	-2.461	-27.400	
0.105	-0.610	-2.342	-58.900	
0.110	-0.620	-2.089	-84.100	
0.115	-0.630	-2.218	-72.500	
0.120	-0.640	-2.209	-59.300	
0.125	-0.650	-1.941	-69.300	
0.130	-0.650	-2.059	-50.100	
0.135	-0.660	-2.327	-41.300	
0.140	-0.670	-2.236	-67.700	
0.145	-0.680	-2.330	-65.900	
0.150	-0.690	-2.796	-58.600	
0.155	-0.700	-2.914	-30.500	
0.160	-0.710	-2.863	-9.300	
0.165	-0.720	-3.203	-47.200	
0.170	-0.740	-3.394	-59.100	
0.175	-0.750	-3.215	-40.600	
0.180	-0.760	-3.334	-24.300	
0.185	-0.780	-3.549	-19.700	
0.190	-0.790	-3.288	-17.000	
0.195	-0.800	-3.117	-4.900	
0.200	-0.810	-3.286	-20.600	
0.205	-0.830	-3.115	-41.500	
0.210	-0.840	-2.869	-22.900	
0.215	-0.850	-3.139	-20.600	
0.220	-0.860	-3.354	-23.100	
0.225	-0.870	-3.322	7.900	
0.230	-0.890	-3.712	17.100	
0.235	-0.900	-4.161	15.600	
0.240	-0.920	-4.006	14.700	
0.245	-0.930	-3.868	9.800	
0.250	-0.950	-3.998	10.400	
0.255	-0.960	-3.683	26.000	
0.260	-0.980	-3.177	55.000	
0.265	-0.990	-3.029	84.000	
0.270	-1.000	-2.551	97.600	
0.275	-1.000	-1.386	71.900	
0.280	-1.000	-0.144	71.400	
0.285	-0.990	1.373	105.200	
0.290	-0.980	3.624	113.100	
0.295	-0.950	5.878	133.500	
0.300	-0.910	7.741	162.900	
0.305	-0.860	9.818	156.000	
0.310	-0.800	11.824	148.300	
0.315	-0.740	13.114	166.300	
0.320	-0.670	14.169	170.300	
0.325	-0.590	15.183	148.700	
0.330	-0.510	15.534	143.300	
0.335	-0.430	15.512	143.000	
0.340	-0.350	15.704	94.400	
0.345	-0.270	15.559	54.900	
0.350	-0.190	14.858	58.000	
0.355	-0.120	14.291	50.600	
0.360	-0.050	13.679	11.700	
0.365	0.010	12.501	-45.800	
0.370	0.070	11.318	-73.800	
0.375	0.130	10.337	-54.300	
0.380	0.180	8.870	-41.900	
0.385	0.210	7.165	-64.900	
0.390	0.250	5.844	-83.800	
0.395	0.270	4.396	-79.300	
0.400	0.290	2.620	-69.600	
0.405	0.290	1.231	-84.900	
0.410	0.300	0.059	-103.700	
0.415	0.290	-1.406	-108.100	
0.420	0.280	-2.538	-86.700	
0.425	0.260	-3.063	-60.500	
0.430	0.250	-3.661	-93.400	
0.435	0.230	-4.191	-108.900	
0.440	0.200	-4.183	-85.800	
0.445	0.180	-4.211	-84.100	
0.450	0.160	-4.429	-81.100	
0.455	0.140	-4.111	-75.000	
0.460	0.120	-3.533	-79.700	
0.465	0.100	-3.385	-62.200	
0.470	0.080	-3.209	-41.100	
0.475	0.070	-2.782	-66.600	
0.480	0.050	-2.741	-88.000	
0.485	0.040	-2.875	-80.200	
0.490	0.030	-2.674	-51.400	
0.495	0.010	-2.753	-38.500	
0.500	0.000	-3.334	-34.100	
0.505	-0.020	-3.665	-23.000	
0.510	-0.040	-3.837	-36.500	
0.515	-0.060	-4.289	-45.600	
0.520	-0.080	-4.453	-56.500	
0.525	-0.100	-4.169	-55.100	
0.530	-0.120	-4.136	-41.000	
0.535	-0.140	-4.117	-44.400	
0.540	-0.160	-3.552	-50.000	
0.545	-0.180	-3.007	-47.400	
0.550	-0.190	-2.738	-20.500	
0.555	-0.200	-2.118	-7.300	
0.560	-0.210	-1.388	-14.900	
0.565	-0.210	-1.113	-33.800	
0.570	-0.220	-0.787	-62.300	
0.575	-0.220	-0.268	-55.100	
0.580	-0.220	-0.264	-40.300	
0.585	-0.220	-0.482	-32.600	
0.590	-0.220	-0.228	-41.600	
0.595	-0.220	-0.028	-50.400	
0.600	-0.220	-0.135	-47.300	
0.605	-0.220	0.131	-49.600	
0.610	-0.220	0.569	-35.000	
0.615	-0.210	0.674	-21.300	
0.620	-0.210	1.001	-36.800	
0.625	-0.200	1.659	-40.800	
0.630	-0.190	1.815	-27.700	
0.635	-0.180	1.488	-25.900	
0.640	-0.170	1.193	-31.500	
0.645	-0.170	0.547	-15.500	
0.650	-0.170	-0.483	-13.200	
0.655	-0.170	-1.012	-34.000	
0.660	-0.180	-1.113	-16.500	
0.665	-0.180	-1.426	-39.000	
0.670	-0.190	-1.541	-65.500	
0.675	-0.190	-1.323	-57.600	
0.680	-0.200	-1.468	-58.400	
0.685	-0.210	-1.770	-38.000	
0.690	-0.210	-1.688	-32.700	
0.695	-0.220	-1.761	-33.100	
0.700	-0.230	-2.225	-21.300	
0.705	-0.240	-2.391	-14.600	
0.710	-0.250	-2.435	-18.900	
0.715	-0.260	-2.942	-45.400	
0.720	-0.280	-3.389	-39.000	
0.725	-0.290	-3.541	-21.000	
0.730	-0.310	-4.027	-41.900	
0.735	-0.330	-4.569	-40.300	
0.740	-0.350	-4.544	-35.200	
0.745	-0.380	-4.489	-28.300	
0.750	-0.400	-4.690	-15.300	
0.755	-0.420	-4.536	-40.800	
0.760	-0.440	-4.242	-53.600	
0.765	-0.460	-4.369	-42.700	
0.770	-0.480	-4.364	-32.700	
0.775	-0.500	-4.004	-23.900	
0.780	-0.510	-3.979	-36.000	
0.785	-0.530	-4.103	-22.600	
0.790	-0.550	-3.868	-10.200	
0.795	-0.560	-3.839	-56.700	
0.800	-0.580	-4.200	-66.800	
0.805	-0.600	-4.209	-33.500	
0.810	-0.620	-4.011	-27.700	
0.815	-0.640	-4.151	-34.500	
0.820	-0.650	-4.117	-30.600	
0.825	-0.670	-3.735	-21.600	
0.830	-0.690	-3.684	-20.400	
0.835	-0.700	-3.771	-25.200	
0.840	-0.720	-3.480	-14.700	
0.845	-0.730	-3.353	-25.000	
0.850	-0.740	-3.580	-36.800	
0.855	-0.760	-3.436	-20.700	
0.860	-0.770	-3.117	-24.700	
0.865	-0.780	-3.249	-30.000	
0.870	-0.800	-3.331	-36.100	
0.875	-0.810	-3.142	-39.600	
0.880	-0.820	-3.311	-42.900	
0.885	-0.830	-3.536	-36.400	
0.890	-0.850	-3.229	-17.100	
0.895	-0.860	-2.987	-17.200	
0.900	-0.870	-3.063	-16.900	
0.905	-0.880	-2.819	-5.300	
0.910	-0.890	-2.489	-10.300	
0.915	-0.900	-2.630	-28.700	
0.920	-0.910	-2.686	-23.800	
0.925	-0.920	-2.426	-23.300	
0.930	-0.920	-2.496	-39.900	
0.935	-0.930	-2.659	-43.700	
0.940	-0.940	-2.376	-33.300	
0.945	-0.950	-2.236	-26.500	
0.950	-0.960	-2.493	-20.300	
0.955	-0.960	-2.473	-12.500	
0.960	-0.970	-2.386	-18.600	
0.965	-0.980	-2.774	-32.100	
0.970	-0.990	-3.073	-32.300	
0.975	-1.000	-3.057	-30.300	
0.980	-1.010	-3.363	-36.800	
0.985	-1.030	-3.758	-28.100	
0.990	-1.040	-3.691	-10.100	
0.995	-1.050	-3.674	-3.200	
1.000	-1.070	-3.877	-13.500	
1.005	-1.080	-3.623	-29.300	
1.010	-1.090	-3.172	-15.200	
1.015	-1.100	-3.159	-2.400	
1.020	-1.120	-3.119	-13.900	
1.025	-1.120	-2.888	-18.300	
1.030	-1.130	-3.109	-11.400	
1.035	-1.150	-3.471	-5.200	
1.040	-1.160	-3.314	-21.800	
1.045	-1.170	-3.152	-21.300	
1.050	-1.180	-3.258	-4.400	
1.055	-1.190	-3.011	-15.900	
1.060	-1.200	-2.666	-24.400	
1.065	-1.210	-2.798	-22.500	
1.070	-1.220	-2.851	-19.900	
1.075	-1.220	-2.611	0.900	
1.080	-1.230	-2.789	21.400	
1.085	-1.240	-3.192	43.300	
1.090	-1.250	-3.198	51.700	
1.095	-1.260	-3.294	26.700	
1.100	-1.270	-3.704	18.400	
1.105	-1.280	-3.728	30.900	
