ChannelTitle=	Vol. Pulse	Blood Flow	ECG	
0	-0.39	-3.208	-41	
0.005	-0.4	-2.851	-40.1	
0.01	-0.41	-2.473	-43.8	
0.015	-0.42	-2.624	-49.7	
0.02	-0.44	-2.726	-50	
0.025	-0.45	-2.558	-56.2	
0.03	-0.46	-2.739	-59	
0.035	-0.47	-3.025	-31.8	
0.04	-0.48	-2.832	1.3	
0.045	-0.49	-2.686	96.3	
0.05	-0.51	-2.826	302.9	
0.055	-0.52	-2.636	551.9	
0.06	-0.53	-2.374	681.9	
0.065	-0.54	-2.565	657.1	
0.07	-0.55	-2.668	550.4	
0.075	-0.56	-2.462	295.8	
0.08	-0.57	-2.533	13.7	
0.085	-0.58	-2.658	-82.8	
0.09	-0.59	-2.364	-48.1	
0.095	-0.6	-2.236	-17.3	
0.1	-0.61	-2.461	-27.4	
0.105	-0.61	-2.342	-58.9	
0.11	-0.62	-2.089	-84.1	
0.115	-0.63	-2.218	-72.5	
0.12	-0.64	-2.209	-59.3	
0.125	-0.65	-1.941	-69.3	
0.13	-0.65	-2.059	-50.1	
0.135	-0.66	-2.327	-41.3	
0.14	-0.67	-2.236	-67.7	
0.145	-0.68	-2.33	-65.9	
0.15	-0.69	-2.796	-58.6	
0.155	-0.7	-2.914	-30.5	
0.16	-0.71	-2.863	-9.3	
0.165	-0.72	-3.203	-47.2	
0.17	-0.74	-3.394	-59.1	
0.175	-0.75	-3.215	-40.6	
0.18	-0.76	-3.334	-24.3	
0.185	-0.78	-3.549	-19.7	
0.19	-0.79	-3.288	-17	
0.195	-0.8	-3.117	-4.9	
0.2	-0.81	-3.286	-20.6	
0.205	-0.83	-3.115	-41.5	
0.21	-0.84	-2.869	-22.9	
0.215	-0.85	-3.139	-20.6	
0.22	-0.86	-3.354	-23.1	
0.225	-0.87	-3.322	7.9	
0.23	-0.89	-3.712	17.1	
0.235	-0.9	-4.161	15.6	
0.24	-0.92	-4.006	14.7	
0.245	-0.93	-3.868	9.8	
0.25	-0.95	-3.998	10.4	
0.255	-0.96	-3.683	26	
0.26	-0.98	-3.177	55	
0.265	-0.99	-3.029	84	
0.27	-1	-2.551	97.6	
0.275	-1	-1.386	71.9	
0.28	-1	-0.144	71.4	
0.285	-0.99	1.373	105.2	
0.29	-0.98	3.624	113.1	
0.295	-0.95	5.878	133.5	
0.3	-0.91	7.741	162.9	
0.305	-0.86	9.818	156	
0.31	-0.8	11.824	148.3	
0.315	-0.74	13.114	166.3	
0.32	-0.67	14.169	170.3	
0.325	-0.59	15.183	148.7	
0.33	-0.51	15.534	143.3	
0.335	-0.43	15.512	143	
0.34	-0.35	15.704	94.4	
0.345	-0.27	15.559	54.9	
0.35	-0.19	14.858	58	
0.355	-0.12	14.291	50.6	
0.36	-0.05	13.679	11.7	
0.365	0.01	12.501	-45.8	
0.37	0.07	11.318	-73.8	
0.375	0.13	10.337	-54.3	
0.38	0.18	8.87	-41.9	
0.385	0.21	7.165	-64.9	
0.39	0.25	5.844	-83.8	
0.395	0.27	4.396	-79.3	
0.4	0.29	2.62	-69.6	
0.405	0.29	1.231	-84.9	
0.41	0.3	0.059	-103.7	
0.415	0.29	-1.406	-108.1	
0.42	0.28	-2.538	-86.7	
0.425	0.26	-3.063	-60.5	
0.43	0.25	-3.661	-93.4	
0.435	0.23	-4.191	-108.9	
0.44	0.2	-4.183	-85.8	
0.445	0.18	-4.211	-84.1	
0.45	0.16	-4.429	-81.1	
0.455	0.14	-4.111	-75	
0.46	0.12	-3.533	-79.7	
0.465	0.1	-3.385	-62.2	
0.47	0.08	-3.209	-41.1	
0.475	0.07	-2.782	-66.6	
0.48	0.05	-2.741	-88	
0.485	0.04	-2.875	-80.2	
0.49	0.03	-2.674	-51.4	
0.495	0.01	-2.753	-38.5	
0.5	0	-3.334	-34.1	
0.505	-0.02	-3.665	-23	
0.51	-0.04	-3.837	-36.5	
0.515	-0.06	-4.289	-45.6	
0.52	-0.08	-4.453	-56.5	
0.525	-0.1	-4.169	-55.1	
0.53	-0.12	-4.136	-41	
0.535	-0.14	-4.117	-44.4	
0.54	-0.16	-3.552	-50	
0.545	-0.18	-3.007	-47.4	
0.55	-0.19	-2.738	-20.5	
0.555	-0.2	-2.118	-7.3	
0.56	-0.21	-1.388	-14.9	
0.565	-0.21	-1.113	-33.8	
0.57	-0.22	-0.787	-62.3	
0.575	-0.22	-0.268	-55.1	
0.58	-0.22	-0.264	-40.3	
0.585	-0.22	-0.482	-32.6	
0.59	-0.22	-0.228	-41.6	
0.595	-0.22	-0.028	-50.4	
0.6	-0.22	-0.135	-47.3	
0.605	-0.22	0.131	-49.6	
0.61	-0.22	0.569	-35	
0.615	-0.21	0.674	-21.3	
0.62	-0.21	1.001	-36.8	
0.625	-0.2	1.659	-40.8	
0.63	-0.19	1.815	-27.7	
0.635	-0.18	1.488	-25.9	
0.64	-0.17	1.193	-31.5	
0.645	-0.17	0.547	-15.5	
0.65	-0.17	-0.483	-13.2	
0.655	-0.17	-1.012	-34	
0.66	-0.18	-1.113	-16.5	
0.665	-0.18	-1.426	-39	
0.67	-0.19	-1.541	-65.5	
0.675	-0.19	-1.323	-57.6	
0.68	-0.2	-1.468	-58.4	
0.685	-0.21	-1.77	-38	
0.69	-0.21	-1.688	-32.7	
0.695	-0.22	-1.761	-33.1	
0.7	-0.23	-2.225	-21.3	
0.705	-0.24	-2.391	-14.6	
0.71	-0.25	-2.435	-18.9	
0.715	-0.26	-2.942	-45.4	
0.72	-0.28	-3.389	-39	
0.725	-0.29	-3.541	-21	
0.73	-0.31	-4.027	-41.9	
0.735	-0.33	-4.569	-40.3	
