ChannelTitle=	Vol. Pulse	Blood Flow	ECG	
0	0	3	20.6	
0.005	0.04	14.2	125.4	
0.01	0.14	21.4	97.6	
0.015	0.25	22	-44.8	
0.02	0.35	22.3	25.8	
0.025	0.46	22.3	91.6	
0.03	0.57	21.5	-45.7	
0.035	0.67	19.6	-44	
0.04	0.76	17	69.1	
0.045	0.83	14	-16.9	
0.05	0.89	11	-85.3	
0.055	0.94	8.4	28.4	
0.06	0.97	5.8	18.4	
0.065	0.99	3.2	-95.3	
0.07	0.99	0.9	-12	
0.075	0.99	-1	55.8	
0.08	0.97	-2.6	-73.8	
0.085	0.95	-4.1	-62.6	
0.09	0.92	-5.3	66.7	
0.095	0.89	-6.3	-15.8	
0.1	0.85	-7.1	-88	
0.105	0.81	-7.5	32.3	
0.11	0.77	-8.1	20	
0.115	0.72	-8.8	-97.6	
0.12	0.68	-9.1	-15.8	
0.125	0.63	-9	53	
0.13	0.58	-8.9	-75.8	
0.135	0.53	-8.6	-73.9	
0.14	0.49	-8.3	47.8	
0.145	0.45	-8.2	-25	
0.15	0.4	-8.3	-89.5	
0.155	0.36	-8.3	31.1	
0.16	0.32	-8.4	27.7	
0.165	0.27	-8.4	-81.6	
0.17	0.23	-8.2	-6.3	
0.175	0.19	-8.2	62.7	
0.18	0.14	-8.7	-47.8	
0.185	0.1	-9.3	-51.3	
0.19	0.05	-9.5	53.8	
0.195	0	-9.9	-11.5	
0.2	-0.05	-10.1	-75.4	
0.205	-0.1	-10	32.5	
0.21	-0.14	-9.7	32.9	
0.215	-0.19	-9.4	-71.3	
0.22	-0.24	-9	-5.3	
0.225	-0.28	-8.6	54.8	
0.23	-0.32	-8.1	-51.6	
0.235	-0.36	-7.5	-43.7	
0.24	-0.39	-6.6	54.8	
0.245	-0.42	-5.9	-13.8	
0.25	-0.45	-5.2	-64.2	
0.255	-0.47	-4.1	38.5	
0.26	-0.48	-3.2	29.8	
0.265	-0.5	-2.5	-69.7	
0.27	-0.5	-1.9	-5.2	
0.275	-0.51	-1.4	51	
0.28	-0.51	-1.3	-51.2	
0.285	-0.52	-1.1	-47.3	
0.29	-0.52	-0.7	55.5	
0.295	-0.52	-0.3	-0.1	
0.3	-0.52	0.1	-55.8	
0.305	-0.51	0.7	37.7	
0.31	-0.51	0.8	36.1	
0.315	-0.5	0.4	-57	
0.32	-0.5	-0.2	4.5	
0.325	-0.5	-0.5	60.8	
0.33	-0.5	-0.7	-41.8	
0.335	-0.5	-0.7	-34.4	
0.34	-0.5	-0.4	62.1	
0.345	-0.5	-0.5	-7.1	
0.35	-0.5	-1	-69.5	
0.355	-0.51	-1.7	26.4	
0.36	-0.52	-2.5	30	
0.365	-0.53	-3.5	-64.3	
0.37	-0.55	-4	-9.4	
0.375	-0.56	-4.2	45.9	
0.38	-0.58	-4.4	-38.8	
0.385	-0.6	-4.3	-21.7	
0.39	-0.62	-4	81.4	
0.395	-0.64	-3.8	27.8	
0.4	-0.65	-3.7	-28.7	
0.405	-0.67	-3.7	54.8	
0.41	-0.68	-4	57.6	
0.415	-0.7	-4.6	-3.3	
0.42	-0.72	-4.9	64.9	
0.425	-0.74	-5	104.1	
0.43	-0.77	-5.1	19.1	
0.435	-0.79	-5	27.2	
0.44	-0.81	-4.8	99.9	
0.445	-0.83	-4.8	47.7	
0.45	-0.85	-5	5.7	
0.455	-0.87	-4.9	88.2	
0.46	-0.89	-4.9	77	
0.465	-0.91	-4.9	-13.2	
0.47	-0.93	-4.7	30.9	
0.475	-0.95	-4.4	74.6	
0.48	-0.97	-4.4	-12	
0.485	-0.98	-4.5	-21.8	
0.49	-1	-4.4	51.1	
0.495	-1.02	-4.2	-11.6	
0.5	-1.03	-4.1	-59.9	
0.505	-1.05	-4	30.2	
0.51	-1.07	-4.1	22.2	
0.515	-1.08	-4.5	-55.8	
0.52	-1.1	-4.5	-2.5	
0.525	-1.12	-4.3	36.6	
0.53	-1.13	-4	-46.5	
0.535	-1.15	-3.5	-47.8	
0.54	-1.16	-3	29.9	
0.545	-1.17	-2.9	-20.3	
0.55	-1.18	-3.1	-75.1	
0.555	-1.19	-3.3	0.6	
0.56	-1.2	-3.5	-8.4	
0.565	-1.21	-3.5	-89.3	
0.57	-1.22	-3.1	-17	
0.575	-1.23	-2.6	56.5	
0.58	-1.24	-2.5	59.4	
0.585	-1.24	-2.5	209.3	
0.59	-1.25	-2.4	325.3	
0.595	-1.26	-2.5	123.2	
0.6	-1.26	-2.6	-0.5	
0.605	-1.27	-2.4	100.8	
0.61	-1.28	-2.2	-96.1	
0.615	-1.28	-2.1	-424.5	
0.62	-1.29	-1.9	-373.9	
0.625	-1.29	-1.5	-173.8	
0.63	-1.29	-1.4	-151.1	
0.635	-1.29	-1.4	-123.5	
0.64	-1.29	-1.4	-17.2	
0.645	-1.29	-1.7	-28.5	
0.65	-1.3	-2.1	-56	
0.655	-1.3	-2.3	17.9	
0.66	-1.31	-2.4	22.3	
0.665	-1.31	-2.6	-33.4	
0.67	-1.32	-2.5	9.8	
0.675	-1.33	-2.4	58	
0.68	-1.33	-2.4	-0.9	
0.685	-1.34	-2.3	-3.2	
0.69	-1.34	-1.9	66.8	
0.695	-1.35	-1.8	31.9	
0.7	-1.35	-2	-1	
0.705	-1.35	-2.1	64.3	
0.71	-1.36	-2.4	65.2	
0.715	-1.36	-2.8	5.9	
0.72	-1.37	-3.1	43.5	
0.725	-1.38	-3	82.6	
0.73	-1.39	-3	24.7	
0.735	-1.4	-2.8	28.1	
0.74	-1.41	-2.7	89.6	
0.745	-1.41	-2.8	55	
0.75	-1.42	-3	25.9	
0.755	-1.43	-2.8	94.5	
0.76	-1.44	-2.7	90.7	
0.765	-1.44	-2.8	30	
0.77	-1.45	-2.9	82.2	
0.775	-1.46	-2.7	122	
0.78	-1.47	-2.5	61.7	
0.785	-1.47	-2.1	69.7	
0.79	-1.47	-1.8	125.4	
0.795	-1.48	-1.8	94	
0.8	-1.48	-1.8	67.3	
0.805	-1.48	-1.1	123.9	
0.81	-1.47	0.3	132.2	
0.815	-1.46	2.1	79.2	
0.82	-1.44	4.8	113.8	
0.825	-1.4	7.9	152.8	
0.83	-1.35	11	85.4	
0.835	-1.28	14.3	80.6	
0.84	-1.19	17.3	126.9	
0.845	-1.09	19.5	72.4	
0.85	-0.99	20.8	34.9	
0.855	-0.88	21.8	78.4	
0.86	-0.76	22.4	59.9	
0.865	-0.65	22.1	-9.3	
0.87	-0.54	21.1	15.8	
0.875	-0.43	19.5	48.3	
